Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
無交談記錄	確認 Lync設定，重新設定保留記錄至本機Outlook端，並測試確認	qa_dataset.xlsx		[]	false	[]	2
Lync無法開啟	進工作管理員將多餘Communicator關閉後已可正常使用	qa_dataset.xlsx		[]	false	[]	3
Lync無法登入	清除lync本機端帳號暫存後即可	qa_dataset.xlsx		[]	false	[]	4
Oracle開啟後顯示can not read form menu.fmx.	Novell未登入導致，重新登入即可	qa_dataset.xlsx		[]	false	[]	5
Oracle產生PDF檔案出現已停止運作	測試多種PDFCreator版本均無用，安裝PDF995供User使用	qa_dataset.xlsx		[]	false	[]	6
開啟後顯示 ORA 12545 Error	關閉APM，安裝DNS_RELAY後重新開起即可	qa_dataset.xlsx		[]	false	[]	7
Oracle開啟後顯示亂碼	安裝Oracle安裝資料夾內reg檔即可	qa_dataset.xlsx		[]	false	[]	8
64位元系統開啟Oracle程式顯示空白	將Oracle安裝資料夾內64bit資料夾覆蓋至安裝路徑即可	qa_dataset.xlsx		[]	false	[]	9
Excel列印格式調整	協助調整Excel列印格式，設定每頁均列印標題	qa_dataset.xlsx		[]	false	[]	10
Excel特定檔存檔自動關閉	修復、重新安裝Office、更新測試後如都無效，移除並重新\n\n安裝最新版Novell	qa_dataset.xlsx		[]	false	[]	11
Excel設定自動存檔	檔案-選項-儲存，設定時間、路徑即可	qa_dataset.xlsx		[]	false	[]	12
Excel歷史紀錄消失(Win7)	點選 開始程式集→空白處點一下→內容 →開始功能表 → 隱私權 打勾=顯示	qa_dataset.xlsx		[]	false	[]	13
文件開啟顯示正在被使用、無法修改	1.進入電腦-組合管理-版面配置-詳細資料窗格取消勾選\n\n2.請PIC Dave將正在使用者剔除即可	qa_dataset.xlsx		[]	false	[]	14
Powerpoint 顯示檔案遺失無法啟動	安裝微軟C++即可	qa_dataset.xlsx		[]	false	[]	15
密碼過期，無法登入	詢問員工編號，請 PIC 解鎖，並告知密碼規則-英文大小寫+數字 8碼以上	qa_dataset.xlsx		[]	false	[]	16
共用資料夾遺失	詢問員工編號，請 PIC 查詢存取權限，確認有權限後重新啟動Novell	qa_dataset.xlsx		[]	false	[]	17
User反應無法登入Novell	將軟體移除重新安裝後已可登入	qa_dataset.xlsx		[]	false	[]	18
誤刪共用資料夾內資料	資料夾右鍵選擇Salvage尋找被刪除的資料回復	qa_dataset.xlsx		[]	false	[]	19
